"","Hauptdiagnose","Estimate","Std. Error","df","t value","min.est","max.est","fdr","Disease.cohort","disease.colours"
"1","AxSpA",-1.31092086556368,0.253086964192032,549.45750427214,-5.17972496034605,-1.56400782975571,-1.05783390137164,1.01537238561705e-06,"MSK","#94d2bd"
"2","CD",-1.15132518465743,0.0856989345059305,1802.35034877566,-13.4345332447249,-1.23702411916336,-1.0656262501515,3.58277102484857e-38,"GI","#0a9396"
"3","CTD",0.383913649229509,1.00111395002703,15.4028345986562,0.383486464472044,-0.617200300797522,1.38502759925654,0.765483821805061,"MSK","#94d2bd"
"4","GCA",-2.70479904200034,0.525340986918412,100.470736048214,-5.14865413008486,-3.23014002891875,-2.17945805508193,3.40057933910197e-06,"MSK","#94d2bd"
"5","PMR",-1.33471118811949,0.55424501697115,87.1526586063023,-2.4081609166528,-1.88895620509064,-0.780466171148339,0.0238848811873338,"MSK","#94d2bd"
"6","PsA",-0.978299690896815,0.24780440642693,422.827632730053,-3.94787043944388,-1.22610409732374,-0.730495284469885,0.000171482597286925,"MSK","#94d2bd"
"7","Pso",-1.04572865191617,0.437993379554397,132.522008802818,-2.38754442585427,-1.48372203147057,-0.607735272361776,0.0238848811873338,"Skin","#bb3e03"
"8","RAneg",-1.55703480979217,0.296087010962691,412.829727914412,-5.25870690757308,-1.85312182075486,-1.26094779882948,1.01124003935607e-06,"MSK","#94d2bd"
"9","RApos",-0.765045520453383,0.183470203995797,798.643265696554,-4.16986248334311,-0.94851572444918,-0.581575316457585,7.32626754447579e-05,"MSK","#94d2bd"
"10","SLE",-1.19337957691066,0.58530980275163,110.235307192593,-2.03888534123366,-1.77868937966229,-0.608069774159031,0.0518273429228778,"MSK","#94d2bd"
"11","SSc",-2.24937245352763,0.558445363264366,10.3615281093155,-4.02791857806649,-2.80781781679199,-1.69092709026326,0.00364236379066864,"MSK","#94d2bd"
"12","SjS",-0.0533516154189358,0.487908378815676,31.6308505964298,-0.109347610607628,-0.541259994234611,0.43455676339674,0.913617571117406,"MSK","#94d2bd"
"13","UC",-1.47354671505963,0.135418001764746,1154.33810429556,-10.8814684595594,-1.60896471682438,-1.33812871329489,1.65575986611364e-25,"GI","#0a9396"
