"","Hauptdiagnose","Estimate","Std. Error","df","t value","Pr(>|t|)","2.5 %","97.5 %","fdr","p.asterix","p.round","Disease.cohort","disease.colours"
"1","AxSpA",-1.41721378028904,0.197402709448422,754.66574244792,-7.17930257517227,1.68031493847988e-12,-1.80344152947264,-1.0292665225214,5.46102355005961e-12,"***",NA,"MSK","#94d2bd"
"2","CD",-1.18963260691422,0.0559154359572345,4036.60367894605,-21.2755670513609,2.72494288164902e-95,-1.29916586845096,-1.07994131343599,3.54242574614372e-94,"***",NA,"GI","#0a9396"
"3","CTD",-0.608944554458961,0.327832557303969,123.835663058539,-1.85748651527109,0.0656174210519906,-1.25910499674752,0.0299430438717546,0.0710855394729898,NA,0.07,"MSK","#94d2bd"
"4","GCA",-1.50799003402324,0.298918485474044,396.996601386026,-5.04482026808001,6.92162756876032e-07,-2.09719967261807,-0.924547837305256,1.12476447992355e-06,"***",NA,"MSK","#94d2bd"
"5","PMR",-1.07358616273387,0.412827695612582,168.966396333194,-2.60056719581474,0.0101317615498352,-1.88273481015298,-0.268704166456541,0.0119739000134416,"*",NA,"MSK","#94d2bd"
"6","PsA",-0.775210415444102,0.154124876099627,909.043663582114,-5.02975531959552,5.9169428266424e-07,-1.07843161526678,-0.473783991163852,1.09886081066216e-06,"***",NA,"MSK","#94d2bd"
"7","Pso",-1.18116209829537,0.31506582181453,186.625168673904,-3.74893757594146,0.00023673527893575,-1.80495415469871,-0.527707975889789,0.000307755862616475,"***",NA,"Skin","#bb3e03"
"8","RAneg",-0.836739777298826,0.140234316457025,1342.18807718887,-5.96672625102606,3.09240921844588e-09,-1.11161305557353,-0.562036484859408,8.04026396795929e-09,"***",NA,"MSK","#94d2bd"
"9","RApos",-0.796766095823258,0.0973570858899505,2937.47183313341,-8.18395588302528,4.0458562265481e-16,-0.987644701523611,-0.606043313483202,1.75320436483751e-15,"***",NA,"MSK","#94d2bd"
"10","SLE",-0.595803893805553,0.115292335075849,1447.44178400457,-5.16776673326619,2.69985367139412e-07,-0.823641560513036,-0.370341894503659,5.84968295468726e-07,"***",NA,"MSK","#94d2bd"
"11","SSc",-1.75206609727302,0.43572095976619,84.7099940053067,-4.02107371243556,0.000125243669538235,-2.60265343219623,-0.914912086079941,0.000180907522666339,"***",NA,"MSK","#94d2bd"
"12","SjS",-0.303852503923884,0.287260753500135,168.75291150688,-1.05775850067086,0.291677354107979,-0.876049826343852,0.253659509960333,0.291677354107979,NA,0.29,"MSK","#94d2bd"
"13","UC",-1.54483307492853,0.0918955947692633,2015.43084131963,-16.8107413506315,1.88554731299919e-59,-1.72524834514255,-1.36489585401254,1.22560575344947e-58,"***",NA,"GI","#0a9396"
