"","Hauptdiagnose","Estimate","Std. Error","df","t value","Pr(>|t|)","2.5 %","97.5 %","fdr","p.asterix","p.round","Disease.cohort","disease.colours"
"1","AxSpA",-1.60106774036664,0.308727457238711,204.019504886338,-5.18602315027872,5.16076495435624e-07,-2.20578790551338,-0.993055093632229,1.67724861016578e-06,"***",NA,"MSK","#94d2bd"
"2","CD",-1.22606517364972,0.0735863259256607,2228.57502805746,-16.6615897481867,7.78886520101997e-59,-1.37029178297285,-1.08146754614345,1.0125524761326e-57,"***",NA,"GI","#0a9396"
"3","CTD",-0.699720700087245,0.348009307438968,107.922792617043,-2.01063789137294,0.0468574664883038,-1.38929870179444,-0.0187051030656911,0.0609147064347949,NA,0.061,"MSK","#94d2bd"
"4","GCA",-1.12021785542359,0.354903152754904,279.569783357772,-3.15640435067427,0.00177186349003167,-1.81710980038121,-0.425172965054379,0.00287927817130146,"**",NA,"MSK","#94d2bd"
"5","PMR",-0.567794196600051,0.586621872219921,72.1779477966078,-0.96790492050932,0.336324015714955,-1.7126341158122,0.579080327667593,0.336324015714955,NA,0.336,"MSK","#94d2bd"
"6","PsA",-0.618547785890634,0.194090736169596,486.269338127783,-3.1869000968194,0.00153059988245386,-0.998584201206884,-0.236304832307753,0.00284254263884289,"**",NA,"MSK","#94d2bd"
"7","Pso",-1.16399279886233,0.39196760298209,55.5128255351605,-2.96961481001662,0.00439726919091497,-1.93135102012683,-0.374488899395149,0.00635161105354385,"**",NA,"Skin","#bb3e03"
"8","RAneg",-0.558881116492826,0.154968512230232,923.654929270967,-3.60641725502606,0.000327085929219757,-0.862816568373485,-0.255225088023042,0.000708686179976141,"***",NA,"MSK","#94d2bd"
"9","RApos",-0.811156571911351,0.114898531259847,2137.52786667399,-7.05976449844163,2.245772290106e-12,-1.03648619807217,-0.586014006778501,9.73167992379267e-12,"***",NA,"MSK","#94d2bd"
"10","SLE",-0.558460277525722,0.116417651646384,1331.86746563607,-4.79704125300546,1.79156850492526e-06,-0.787840315135063,-0.330258060775829,4.65807811280568e-06,"***",NA,"MSK","#94d2bd"
"11","SSc",-0.727952697189266,0.447056021081988,37.0664840539214,-1.6283254510865,0.111927346842,-1.61283102047899,0.15731956294091,0.132277773540546,NA,0.132,"MSK","#94d2bd"
"12","SjS",-0.345254244921312,0.333253621704321,136.282437667737,-1.03601048101328,0.3020320408951,-1.00490039865831,0.306088283183173,0.327201377636358,NA,0.327,"MSK","#94d2bd"
"13","UC",-1.60433896414233,0.125079470800301,856.119901431736,-12.8265570191274,1.4189113743417e-34,-1.84943515791181,-1.358961742612,9.22292393322106e-34,"***",NA,"GI","#0a9396"
