"","Hauptdiagnose","Estimate","Std. Error","df","t value","Pr(>|t|)","2.5 %","97.5 %","fdr","p.asterix","p.round","Disease.cohort","disease.colours"
"1","AxSpA",-1.31092086556368,0.253086964192032,549.45750427214,-5.17972496034605,3.12422272497555e-07,-1.80668302570104,-0.813868658598168,1.01537238561705e-06,"***",NA,"MSK","#94d2bd"
"2","CD",-1.15132518465743,0.0856989345059305,1802.35034877566,-13.4345332447249,2.75597771142198e-39,-1.31942495429801,-0.983406795461626,3.58277102484857e-38,"***",NA,"GI","#0a9396"
"3","CTD",0.383913649229509,1.00111395002703,15.4028345986562,0.383486464472044,0.70660045089698,-1.6453375629186,2.37781737400342,0.765483821805061,NA,0.765,"MSK","#94d2bd"
"4","GCA",-2.70479904200034,0.525340986918412,100.470736048214,-5.14865413008486,1.30791513042383e-06,-3.77013464009317,-1.66235519890181,3.40057933910197e-06,"***",NA,"MSK","#94d2bd"
"5","PMR",-1.33471118811949,0.55424501697115,87.1526586063023,-2.4081609166528,0.0181407685713623,-2.42640747865435,-0.250545324328299,0.0238848811873338,"*",NA,"MSK","#94d2bd"
"6","PsA",-0.978299690896815,0.24780440642693,422.827632730053,-3.94787043944388,9.2336783154498e-05,-1.4733060051026,-0.491477703125709,0.000171482597286925,"***",NA,"MSK","#94d2bd"
"7","Pso",-1.04572865191617,0.437993379554397,132.522008802818,-2.38754442585427,0.0183729855287183,-1.95195713924468,-0.0985600539996724,0.0238848811873338,"*",NA,"Skin","#bb3e03"
"8","RAneg",-1.55703480979217,0.296087010962691,412.829727914412,-5.25870690757308,2.33363086005247e-07,-2.13674916964645,-0.975861439132664,1.01124003935607e-06,"***",NA,"MSK","#94d2bd"
"9","RApos",-0.765045520453383,0.183470203995797,798.643265696554,-4.16986248334311,3.38135425129652e-05,-1.12462863469675,-0.405394807399298,7.32626754447579e-05,"***",NA,"MSK","#94d2bd"
"10","SLE",-1.19337957691066,0.58530980275163,110.235307192593,-2.03888534123366,0.0438539055501274,-2.3744238168415,-0.0588121152060303,0.0518273429228778,NA,0.052,"MSK","#94d2bd"
"11","SSc",-2.24937245352763,0.558445363264366,10.3615281093155,-4.02791857806649,0.00224145464041147,-3.26233283513599,-1.24431309355533,0.00364236379066864,"**",NA,"MSK","#94d2bd"
"12","SjS",-0.0533516154189358,0.487908378815676,31.6308505964298,-0.109347610607628,0.913617571117406,-1.04656632618302,0.898923419454281,0.913617571117406,NA,0.914,"MSK","#94d2bd"
"13","UC",-1.47354671505963,0.135418001764746,1154.33810429556,-10.8814684595594,2.54732287094406e-26,-1.74040511888613,-1.20791065686194,1.65575986611364e-25,"***",NA,"GI","#0a9396"
